央视频道,#genre#
CCTV1,http://117.83.105.234:7777/rtp/239.49.8.129:6000
CCTV1,http://58.212.111.248:8888/rtp/239.49.8.19:9614
CCTV4,http://117.83.105.208:7777/rtp/239.49.8.131:6000
CCTV4,http://58.212.111.248:8888/rtp/239.49.8.51:9806
CCTV5+,http://117.83.105.208:7777/rtp/239.49.8.18:9610
CCTV7,http://117.83.105.234:7777/rtp/239.49.8.52:9810
CCTV9,http://117.83.105.234:7777/rtp/239.49.8.53:9814
CCTV12,http://117.83.105.234:7777/rtp/239.49.8.55:9822
CCTV14,http://117.83.105.208:7777/rtp/239.49.8.136:6000

卫视频道,#genre#
浙江卫视,http://117.83.105.234:7777/rtp/239.49.8.20:9618
江苏卫视,http://117.83.105.234:7777/rtp/239.49.8.16:9602
北京卫视,http://117.83.105.208:7777/rtp/239.49.8.141:6000
东方卫视,http://117.83.105.208:7777/rtp/239.49.8.140:6000
深圳卫视,http://117.83.105.208:7777/rtp/239.49.8.15:9430
深圳卫视,http://117.83.105.234:7777/rtp/239.49.8.145:6000
深圳卫视,http://117.83.105.234:7777/rtp/239.49.8.15:9430
辽宁卫视,http://117.83.105.208:7777/rtp/239.49.8.48:8000
辽宁卫视,http://117.83.105.234:7777/rtp/239.49.8.48:8000
山东卫视,http://117.83.105.208:7777/rtp/239.49.8.146:6000
山东卫视,http://117.83.105.234:7777/rtp/239.49.8.146:6000
天津卫视,http://117.83.105.208:7777/rtp/239.49.8.35:8620
重庆卫视,http://117.83.105.208:7777/rtp/239.49.8.57:9830
东南卫视,http://117.83.105.208:7777/rtp/239.49.8.112:8000
河北卫视,http://117.83.105.234:7777/rtp/239.49.8.188:6000
黑龙江卫视,http://117.83.105.208:7777/rtp/239.49.8.144:6000
黑龙江卫视,http://117.83.105.208:7777/rtp/239.49.8.14:9426
湖北卫视,http://117.83.105.208:7777/rtp/239.49.8.147:6000
湖北卫视,http://117.83.105.234:7777/rtp/239.49.8.147:6000
湖北卫视,http://117.83.105.234:7777/rtp/239.49.8.8:9632
江西卫视,http://117.83.105.208:7777/rtp/239.49.8.111:8000
吉林卫视,http://117.83.105.234:7777/rtp/239.49.8.113:8000

数字频道,#genre#
茶频道,http://117.83.105.234:7777/rtp/239.49.0.146:8000
快乐垂钓,http://117.83.105.208:7777/rtp/239.49.0.114:8000

更新时间,#genre#
2024-04-04_05:53:21,https://taoiptv.com/time.mp4
