央视频道,#genre#
CCTV4,http://111.225.113.130:808/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5+,http://111.225.113.130:808/tsfile/live/0017_1.m3u8?key=txiptv
CCTV7,http://111.225.113.130:808/tsfile/live/0007_1.m3u8?key=txiptv
CCTV9,http://111.225.113.130:808/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://111.225.113.130:808/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://111.225.113.130:808/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://111.225.113.130:808/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://111.225.113.130:808/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://111.225.113.130:808/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://111.225.113.130:808/tsfile/live/0015_1.m3u8?key=txiptv
CCTV17,http://111.225.113.130:808/tsfile/live/0016_1.m3u8?key=txiptv

卫视频道,#genre#
湖南卫视,http://111.225.113.130:808/tsfile/live/1009_1.m3u8?key=txiptv
浙江卫视,http://111.225.113.130:808/tsfile/live/1010_1.m3u8?key=txiptv
江苏卫视,http://111.225.113.130:808/tsfile/live/1011_1.m3u8?key=txiptv
北京卫视,http://111.225.113.130:808/tsfile/live/1014_1.m3u8?key=txiptv
东方卫视,http://111.225.113.130:808/tsfile/live/1025_1.m3u8?key=txiptv
安徽卫视,http://111.225.113.130:808/tsfile/live/1012_1.m3u8?key=txiptv
广东卫视,http://111.225.113.130:808/tsfile/live/1027_1.m3u8?key=txiptv
深圳卫视,http://111.225.113.130:808/tsfile/live/1023_1.m3u8?key=txiptv
辽宁卫视,http://111.225.113.130:808/tsfile/live/1016_1.m3u8?key=txiptv
山东卫视,http://111.225.113.130:808/tsfile/live/1017_1.m3u8?key=txiptv
天津卫视,http://111.225.113.130:808/tsfile/live/1015_1.m3u8?key=txiptv
重庆卫视,http://111.225.113.130:808/tsfile/live/1026_1.m3u8?key=txiptv
东南卫视,http://111.225.113.130:808/tsfile/live/1013_1.m3u8?key=txiptv
甘肃卫视,http://111.225.113.130:808/tsfile/live/0141_1.m3u8?key=txiptv
贵州卫视,http://111.225.113.130:808/tsfile/live/1022_1.m3u8?key=txiptv
河北卫视,http://111.225.113.130:808/tsfile/live/0018_1.m3u8?key=txiptv
黑龙江卫视,http://111.225.113.130:808/tsfile/live/1019_1.m3u8?key=txiptv
河南卫视,http://111.225.113.130:808/tsfile/live/1018_1.m3u8?key=txiptv
湖北卫视,http://111.225.113.130:808/tsfile/live/1024_1.m3u8?key=txiptv
江西卫视,http://111.225.113.130:808/tsfile/live/1021_1.m3u8?key=txiptv
吉林卫视,http://111.225.113.130:808/tsfile/live/1028_1.m3u8?key=txiptv
四川卫视,http://111.225.113.130:808/tsfile/live/1020_1.m3u8?key=txiptv

影视频道,#genre#
河北影视,http://111.225.113.130:808/tsfile/live/1001_1.m3u8?key=txiptv

国教频道,#genre#
中国教育1,http://111.225.113.130:808/tsfile/live/1034_1.m3u8?key=txiptv
中国教育4,http://111.225.113.130:808/tsfile/live/1038_1.m3u8?key=txiptv

其他频道,#genre#
BTV冬奥纪实,http://111.225.113.130:808/tsfile/live/1035_1.m3u8?key=txiptv
保定新闻综合,http://111.225.113.130:808/tsfile/live/1006_1.m3u8?key=txiptv
河北公共,http://111.225.113.130:808/tsfile/live/1003_1.m3u8?key=txiptv
河北农民,http://111.225.113.130:808/tsfile/live/1004_1.m3u8?key=txiptv
河北少儿科教,http://111.225.113.130:808/tsfile/live/1002_1.m3u8?key=txiptv
河北经济生活,http://111.225.113.130:808/tsfile/live/0019_1.m3u8?key=txiptv
河北都市,http://111.225.113.130:808/tsfile/live/1000_1.m3u8?key=txiptv
纪实人文,http://111.225.113.130:808/tsfile/live/1033_1.m3u8?key=txiptv
金鹰纪实,http://111.225.113.130:808/tsfile/live/1036_1.m3u8?key=txiptv

更新时间,#genre#
2024-03-29_18:39:52,https://taoiptv.com/time.mp4
