央视频道,#genre#
CCTV4,http://219.145.93.74:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV9,http://219.145.93.74:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://219.145.93.74:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://219.145.93.74:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://219.145.93.74:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV14,http://219.145.93.74:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://219.145.93.74:9901/tsfile/live/0015_1.m3u8?key=txiptv

卫视频道,#genre#
江苏卫视,http://219.145.93.74:9901/tsfile/live/1008_1.m3u8?key=txiptv
北京卫视,http://219.145.93.74:9901/tsfile/live/1007_1.m3u8?key=txiptv
山东卫视,http://219.144.185.82:9901/tsfile/live/1008_1.m3u8?key=txiptv
黑龙江卫视,http://219.144.185.82:9901/tsfile/live/1007_1.m3u8?key=txiptv
湖北卫视,http://219.144.185.82:9901/tsfile/live/1000_1.m3u8?key=txiptv
陕西卫视,http://219.144.185.82:9901/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://219.145.93.74:9901/tsfile/live/0136_1.m3u8?key=txiptv

更新时间,#genre#
2024-03-27_06:06:54,https://taoiptv.com/time.mp4
