央视频道,#genre#
CCTV2,http://116.1.179.211:4000/rtp/239.81.0.115:4056
CCTV2,http://180.139.220.76:18888/rtp/239.81.0.115:4056
CCTV2,http://222.217.233.34:8888/rtp/239.81.0.115:4056
CCTV4,http://116.1.179.211:4000/rtp/239.81.0.96:4056
CCTV4,http://222.217.233.34:8888/rtp/239.81.0.96:4056
CCTV9,http://116.1.179.211:4000/rtp/239.81.0.117:4056
CCTV9,http://222.217.233.34:8888/rtp/239.81.0.117:4056
CCTV10,http://116.1.179.211:4000/rtp/239.81.0.118:4056
CCTV10,http://180.139.220.76:18888/rtp/239.81.0.118:4056
CCTV10,http://222.217.233.34:8888/rtp/239.81.0.118:4056
CCTV11,http://116.1.179.211:4000/rtp/239.81.0.229:4056
CCTV11,http://180.139.220.76:18888/rtp/239.81.0.229:4056
CCTV11,http://222.217.233.34:8888/rtp/239.81.0.229:4056
CCTV12,http://116.1.179.211:4000/rtp/239.81.0.119:4056
CCTV12,http://222.217.233.34:8888/rtp/239.81.0.119:4056
CCTV14,http://116.1.179.211:4000/rtp/239.81.0.120:4056
CCTV14,http://222.217.233.34:8888/rtp/239.81.0.120:4056
CCTV15,http://116.1.179.211:4000/rtp/239.81.0.230:4056
CCTV15,http://180.139.220.76:18888/rtp/239.81.0.230:4056
CCTV15,http://222.217.233.34:8888/rtp/239.81.0.230:4056
CCTV17,http://116.1.179.211:4000/rtp/239.81.0.228:4056
CCTV17,http://180.139.220.76:18888/rtp/239.81.0.228:4056
CCTV17,http://222.217.233.34:8888/rtp/239.81.0.228:4056

卫视频道,#genre#
湖南卫视,http://116.1.179.211:4000/rtp/239.81.0.110:4056
湖南卫视,http://222.217.233.34:8888/rtp/239.81.0.110:4056
北京卫视,http://116.1.179.211:4000/rtp/239.81.0.109:4056
北京卫视,http://180.139.220.76:18888/rtp/239.81.0.109:4056
北京卫视,http://222.217.233.34:8888/rtp/239.81.0.109:4056
广东卫视,http://116.1.179.211:4000/rtp/239.81.0.104:4056
