央视频道,#genre#
CCTV2,http://171.117.180.171:8085/rtp/226.0.2.154:9144
CCTV5,http://171.118.108.99:8085/rtp/226.0.2.209:9584
CCTV5+,http://171.117.180.171:8085/rtp/226.0.2.168:9256
CCTV6,http://171.117.180.171:8085/rtp/226.0.2.210:9592
CCTV8,http://171.117.120.54:8085/rtp/226.0.2.211:9600
CCTV8,http://171.118.108.99:8085/rtp/226.0.2.211:9600
CCTV9,http://171.118.108.99:8085/rtp/226.0.2.161:9200
CCTV10,http://171.117.180.171:8085/rtp/226.0.2.162:9208
CCTV12,http://171.118.108.99:8085/rtp/226.0.2.164:9224
CCTV13,http://171.117.120.54:8085/rtp/226.0.2.165:9232
CCTV16,http://171.118.108.99:8085/rtp/226.0.2.169:9264
CCTV风云音乐,http://171.117.180.171:8085/rtp/226.0.2.220:9672
CCTV世界地理,http://171.117.120.54:8085/rtp/226.0.2.222:9688
CCTV第一剧场,http://171.117.120.54:8085/rtp/226.0.2.221:9680
CCTV第一剧场,http://171.117.180.171:8085/rtp/226.0.2.221:9680
CCTV第一剧场,http://171.118.108.99:8085/rtp/226.0.2.221:9680
CCTV风云剧场,http://171.117.120.54:8085/rtp/226.0.2.227:9728
CCTV央视精品,http://171.118.108.99:8085/rtp/226.0.2.219:9664
CCTV风云足球,http://171.117.180.171:8085/rtp/226.0.2.225:9712
CCTV高网频道,http://171.117.120.54:8085/rtp/226.0.2.217:9648
CCTV怀旧剧场,http://171.118.108.99:8085/rtp/226.0.2.224:9704
CCTV女性时尚,http://171.117.120.54:8085/rtp/226.0.2.226:9720
CCTV女性时尚,http://171.117.180.171:8085/rtp/226.0.2.226:9720
CCTV女性时尚,http://171.118.108.99:8085/rtp/226.0.2.226:9720
CCTV央视台球,http://171.117.120.54:8085/rtp/226.0.2.216:9640
CCTV风云足球,http://171.117.180.171:8085/rtp/226.0.2.225:9712

卫视频道,#genre#
湖南卫视,http://171.118.108.99:8085/rtp/226.0.2.143:9056
北京卫视,http://171.117.180.171:8085/rtp/226.0.2.177:9328
东方卫视,http://171.117.120.54:8085/rtp/226.0.2.175:9312
安徽卫视,http://171.117.120.54:8085/rtp/226.0.2.145:9072
深圳卫视,http://171.118.108.99:8085/rtp/226.0.2.147:9088
海南卫视,http://171.117.120.54:8085/rtp/226.0.2.212:9608
山东卫视,http://171.117.180.171:8085/rtp/226.0.2.149:9104
天津卫视,http://171.118.108.99:8085/rtp/226.0.2.148:9096
东南卫视,http://171.117.180.171:8085/rtp/226.0.2.188:9416
广西卫视,http://171.117.180.171:8085/rtp/226.0.2.231:9760
河北卫视,http://171.118.108.99:8085/rtp/226.0.2.178:9336
河南卫视,http://171.117.180.171:8085/rtp/226.0.2.52:8328
河南卫视,http://171.118.108.99:8085/rtp/226.0.2.52:8328
湖北卫视,http://171.117.120.54:8085/rtp/226.0.2.150:9112
湖北卫视,http://171.117.180.171:8085/rtp/226.0.2.150:9112
江西卫视,http://171.117.180.171:8085/rtp/226.0.2.54:8344
吉林卫视,http://171.117.120.54:8085/rtp/226.0.2.58:8376
吉林卫视,http://171.117.180.171:8085/rtp/226.0.2.58:8376
山西卫视,http://171.118.108.99:8085/rtp/226.0.2.152:9128
金鹰卡通,http://171.117.120.54:8085/rtp/226.0.2.172:9288
金鹰卡通,http://171.117.180.171:8085/rtp/226.0.2.172:9288

影视频道,#genre#
山西影视,http://171.117.120.54:8085/rtp/226.0.2.237:9808
山西影视,http://171.117.180.171:8085/rtp/226.0.2.237:9808

国教频道,#genre#
中国教育1,http://171.118.108.99:8085/rtp/226.0.2.181:9360

数字频道,#genre#
生活时尚,http://171.117.180.171:8085/rtp/226.0.2.84:8584
早期教育,http://171.117.180.171:8085/rtp/226.0.2.99:8704
武术世界,http://171.117.180.171:8085/rtp/226.0.2.97:8688
文物宝库,http://171.118.108.99:8085/rtp/226.0.2.110:8792
快乐垂钓,http://171.117.120.54:8085/rtp/226.0.2.214:9624
快乐垂钓,http://171.118.108.99:8085/rtp/226.0.2.214:9624

电影频道,#genre#
CHC家庭影院,http://171.117.120.54:8085/rtp/226.0.2.240:9820
CHC家庭影院,http://171.118.108.99:8085/rtp/226.0.2.240:9820

其他频道,#genre#
CHC电影,http://171.118.108.99:8085/rtp/226.0.2.93:8004
上海纪实,http://171.117.180.171:8085/rtp/226.0.2.193:9456
东方财*,http://171.117.120.54:8085/rtp/226.0.2.76:8520
大同教育,http://171.117.120.54:8085/rtp/226.0.2.232:9772
大同教育,http://171.117.180.171:8085/rtp/226.0.2.232:9772
山西文体生活,http://171.118.108.99:8085/rtp/226.0.2.16:8040
山西社会与法治,http://171.117.120.54:8085/rtp/226.0.2.238:9816
山西社会与法治,http://171.117.180.171:8085/rtp/226.0.2.238:9816
山西经济与科技,http://171.117.180.171:8085/rtp/226.0.2.236:9800
山西黄河,http://171.117.120.54:8085/rtp/226.0.2.235:9792
山西黄河,http://171.118.108.99:8085/rtp/226.0.2.235:9792
都市剧场,http://171.118.108.99:8085/rtp/226.0.2.81:8560
金色学堂,http://171.117.180.171:8085/rtp/226.0.2.182:9368
金鹰纪实,http://171.117.120.54:8085/rtp/226.0.2.194:9464

更新时间,#genre#
2024-04-02_05:17:25,https://taoiptv.com/time.mp4
