央视频道,#genre#
CCTV1,http://61.178.184.39:8029/rtp/239.255.30.101:8231
CCTV4,http://61.178.184.39:8029/rtp/239.255.30.83:8231
CCTV6,http://61.178.184.39:8029/rtp/239.255.29.14:8231
CCTV9,http://61.178.184.39:8029/rtp/239.255.30.180:8231
CCTV11,http://61.178.184.39:8029/rtp/239.255.30.62:8231
CCTV14,http://61.178.184.39:8029/rtp/239.255.30.183:8231
CCTV16,http://61.178.184.39:8029/rtp/239.255.30.80:8231
CCTV16,http://61.178.184.39:8029/rtp/239.255.30.88:8231

卫视频道,#genre#
北京卫视,http://61.178.184.39:8029/rtp/239.255.30.133:8231
东方卫视,http://61.178.184.39:8029/rtp/239.255.30.130:8231
安徽卫视,http://61.178.184.39:8029/rtp/239.255.30.84:8231
广东卫视,http://61.178.184.39:8029/rtp/239.255.30.134:8231
海南卫视,http://61.178.184.39:8029/rtp/239.255.30.99:8231
天津卫视,http://61.178.184.39:8029/rtp/239.255.30.67:8231
广西卫视,http://61.178.184.39:8029/rtp/239.255.29.4:8231
贵州卫视,http://61.178.184.39:8029/rtp/239.255.30.98:8231
卡酷动画,http://61.178.184.39:8029/rtp/239.255.29.38:8231
哈哈炫动,http://61.178.184.39:8029/rtp/239.255.29.37:8231

国教频道,#genre#
中国教育1,http://61.178.184.39:8029/rtp/239.255.30.90:8231

数字频道,#genre#
电竞天堂,http://61.178.184.39:8029/rtp/239.255.30.128:8231
游戏风云,http://61.178.184.39:8029/rtp/239.255.29.20:8231

电影频道,#genre#
华语影院,http://61.178.184.39:8029/rtp/239.255.30.193:8231

其他频道,#genre#
东方财经,http://61.178.184.39:8029/rtp/239.255.29.43:8231
健康养生,http://61.178.184.39:8029/rtp/239.255.30.197:8231
全球大片,http://61.178.184.39:8029/rtp/239.255.30.196:8231
宝宝动画,http://61.178.184.39:8029/rtp/239.255.30.151:8231
戏曲精选,http://61.178.184.39:8029/rtp/239.255.30.118:8231
星光影院,http://61.178.184.39:8029/rtp/239.255.30.194:8231
热门综艺,http://61.178.184.39:8029/rtp/239.255.30.116:8231
甘肃经济,http://61.178.184.39:8029/rtp/239.255.30.253:8231
百变课堂,http://61.178.184.39:8029/rtp/239.255.30.160:8231
看天下精选,http://61.178.184.39:8029/rtp/239.255.30.217:8231
谍战剧场,http://61.178.184.39:8029/rtp/239.255.30.166:8231
陇尚生活,http://61.178.184.39:8029/rtp/239.255.30.73:8231
青春动漫,http://61.178.184.39:8029/rtp/239.255.30.150:8231

更新时间,#genre#
2024-03-31_06:01:16,https://taoiptv.com/time.mp4
